Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Vivo V5 Lite Dual SIM TD-LTE ID TH,Jan 2017,MediaTek MT6750,3000 mAh,3 GB,32 GB,12 MP,16 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo V5Lite Dual SIM TD-LTE PH / V5 Lite,Jan 2017,MediaTek MT6750,3000 mAh,3 GB,32 GB,12 MP,16 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo X9Plus Dual SIM TD-LTE CN,Jan 2017,Qualcomm Snapdragon 653 MSM8976SG / MSM8976 Pro,4000 mAh,6 GB,64 GB,15 MP,20 MP,1080x1920,Color IPS TFT LCD,Google Android 6.0 (Marshmallow)
Vivo Y66 Dual SIM TD-LTE CN,Jan 2017,Qualcomm Snapdragon 430 MSM8937,3000 mAh,3 GB,32 GB,12 MP,4 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y66L Dual SIM TD-LTE CN,Jan 2017,Qualcomm Snapdragon 430 MSM8937,3000 mAh,3 GB,32 GB,12 MP,4 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y52 Dual SIM,Jan 2017,MediaTek MT6580,2350 mAh,2 GB,16 GB,8 MP,5 MP,540x960,Color IPS TFT LCD,Google Android 5.1.1 (Lollipop)
imoo C1 TD-LTE CN,Jan 2017,MediaTek Helio P10 MT6755M,2945 mAh,3 GB,32 GB,12 MP,8 MP,720x1280,Color TN-TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y55s Dual SIM LTE TH ID PH 1610,Jan 2017,Qualcomm Snapdragon 425 MSM8917,2730 mAh,2 GB,16 GB,13 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y55s Dual SIM TD-LTE MY VN 1610,Jan 2017,Qualcomm Snapdragon 425 MSM8917,2730 mAh,2 GB,16 GB,13 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y55s Dual SIM TD-LTE IN 1610,Jan 2017,Qualcomm Snapdragon 425 MSM8917,2730 mAh,3 GB,16 GB,13 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo V5 Plus Dual SIM TD-LTE APAC / V5Plus 1611,Jan 2017,Qualcomm Snapdragon 625 MSM8953,3160 mAh,4 GB,64 GB,15 MP,19 MP,1080x1920,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y53 Dual SIM LTE TH ID PH,Apr 2017,Qualcomm Snapdragon 425 MSM8917,2500 mAh,2 GB,16 GB,8 MP,5 MP,540x960,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y53 Dual SIM TD-LTE CN,Apr 2017,Qualcomm Snapdragon 425 MSM8917,2500 mAh,2 GB,16 GB,8 MP,5 MP,540x960,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y53 Dual SIM TD-LTE IN,Apr 2017,Qualcomm Snapdragon 425 MSM8917,2500 mAh,2 GB,16 GB,8 MP,5 MP,540x960,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y53 Dual SIM TD-LTE MY VN,Apr 2017,Qualcomm Snapdragon 425 MSM8917,2500 mAh,2 GB,16 GB,8 MP,5 MP,540x960,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo V5s Limited Edition Dual SIM LTE ID TH 1713,May 2017,MediaTek MT6750,3000 mAh,4 GB,64 GB,12 MP,19 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo V5s Dual SIM TD-LTE IN PH 1713,May 2017,MediaTek MT6750,3000 mAh,4 GB,64 GB,12 MP,19 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo V5s Dual SIM TD-LTE MY VN 1713,May 2017,MediaTek MT6750,3000 mAh,4 GB,64 GB,12 MP,19 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y66 Dual SIM TD-LTE IN 1609,Jul 2017,MediaTek MT6750,2930 mAh,3 GB,32 GB,12 MP,15 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo X9s Plus Dual SIM TD-LTE 64GB,Jul 2017,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,4015 mAh,4 GB,64 GB,16 MP,20 MP,1080x1920,AM-OLED,Google Android 7.1.1 (Nougat)
Vivo X9s Dual SIM TD-LTE 64GB,Jul 2017,Qualcomm Snapdragon 660 SDM660,3320 mAh,4 GB,64 GB,16 MP,20 MP,1080x1920,AM-OLED,Google Android 7.1.1 (Nougat)
Vivo Z10 Dual SIM TD-LTE IN 1716,Jul 2017,Qualcomm Snapdragon 450 SDM450,3225 mAh,4 GB,32 GB,16 MP,24 MP,720x1440,Color IPS TFT LCD,Google Android 7.1 (Nougat)
Vivo Y69 Dual SIM TD-LTE ID TH PK 1714,Sep 2017,MediaTek MT6750,3000 mAh,3 GB,32 GB,13 MP,16 MP,720x1280,Color TN-TFT LCD,Google Android 7.0 (Nougat)
Vivo V7 Dual SIM TD-LTE IN ID TH PK 1718,Sep 2017,Qualcomm Snapdragon 450 SDM450,3000 mAh,4 GB,32 GB,16 MP,24 MP,720x1440,Color IPS TFT LCD,Google Android 7.1 (Nougat)
Vivo V7 Plus Dual SIM TD-LTE IN 1716 / V7+,Sep 2017,Qualcomm Snapdragon 450 SDM450,3225 mAh,4 GB,64 GB,16 MP,24 MP,720x1440,Color IPS TFT LCD,Google Android 7.1 (Nougat)
Vivo V7+ Dual SIM LTE ID PK 1716,Sep 2017,Qualcomm Snapdragon 450 SDM450,3225 mAh,4 GB,64 GB,16 MP,24 MP,720x1440,Color IPS TFT LCD,Google Android 7.1 (Nougat)
Vivo V7+ Dual SIM TD-LTE MY VN TH 1716,Sep 2017,Qualcomm Snapdragon 450 SDM450,3225 mAh,4 GB,64 GB,16 MP,24 MP,720x1440,Color IPS TFT LCD,Google Android 7.1 (Nougat)
Vivo V7+ Dual SIM TD-LTE PH TW 1716,Sep 2017,Qualcomm Snapdragon 450 SDM450,3225 mAh,4 GB,64 GB,16 MP,24 MP,720x1440,Color IPS TFT LCD,Google Android 7.1 (Nougat)
